manNum=20
womanNum=20
man1=10,11,6,14,7,4,12,8,18,3,15,5,20,16,2,9,13,19,17,1
man2=10,4,13,20,6,9,15,3,12,8,18,2,19,14,5,16,1,17,7,11
man3=1,14,17,3,13,7,20,5,10,11,18,6,16,12,2,19,8,9,15,4
man4=13,20,12,19,17,9,5,3,1,7,8,6,10,11,16,4,18,2,14,15
man5=1,11,8,18,12,10,13,5,6,2,20,14,3,4,16,17,7,19,9,15
man6=11,2,1,9,20,16,19,6,7,14,4,15,10,12,8,5,3,13,17,18
man7=13,20,2,14,6,5,15,10,7,16,18,8,4,19,11,9,12,17,3,1
man8=3,7,17,14,19,5,20,8,13,12,9,11,4,10,1,18,2,6,16,15
man9=2,11,3,4,10,16,14,9,7,15,13,17,6,5,18,1,20,19,8,12
man10=11,9,13,17,1,2,15,16,8,3,7,19,4,14,5,20,18,6,12,10
man11=6,13,17,2,3,8,1,15,11,16,4,14,7,20,19,9,10,18,12,5
man12=12,7,5,9,14,4,15,1,18,17,19,16,13,6,3,20,11,8,10,2
man13=9,5,19,12,11,14,16,8,13,20,4,18,6,1,2,7,10,15,17,3
man14=18,15,5,20,17,16,19,9,12,8,1,6,14,13,4,3,10,11,2,7
man15=3,5,13,18,11,7,6,10,12,4,16,8,9,2,17,1,20,14,15,19
man16=16,6,17,15,12,2,1,3,13,8,20,9,18,19,14,7,10,4,5,11
man17=11,1,7,12,14,17,6,16,9,3,20,8,15,4,10,5,2,18,19,13
man18=14,2,3,16,5,11,17,18,7,19,8,10,4,9,20,1,13,6,12,15
man19=13,3,12,15,4,18,19,7,14,17,11,1,20,6,10,9,5,16,8,2
man20=1,11,10,3,2,17,14,13,8,5,20,18,4,19,9,15,7,6,12,16
woman1=10,17,6,14,11,4,13,1,19,3,2,16,15,20,18,12,7,5,9,8
woman2=2,13,7,9,20,19,4,3,18,10,11,15,16,12,17,6,1,14,8,5
woman3=19,8,2,15,20,10,16,18,13,5,9,12,7,4,11,1,3,6,17,14
woman4=5,1,8,11,2,7,13,14,9,20,4,10,6,16,18,19,17,3,12,15
woman5=7,18,8,20,16,11,6,5,14,9,15,2,10,3,19,4,12,13,17,1
woman6=1,9,10,14,12,15,5,13,6,11,8,3,16,19,7,17,20,4,18,2
woman7=18,3,7,8,5,11,16,1,20,13,15,17,4,6,10,14,9,12,2,19
woman8=17,19,13,12,7,15,3,1,18,6,10,9,20,2,14,11,16,4,5,8
woman9=8,11,5,7,19,13,2,17,12,1,9,3,10,15,16,4,6,20,14,18
woman10=4,14,5,13,1,18,16,17,3,12,15,7,9,8,10,11,20,6,19,2
woman11=15,18,19,7,5,11,2,14,20,8,4,10,17,6,9,3,16,13,12,1
woman12=6,19,12,8,2,18,9,17,16,20,4,5,3,15,10,7,11,13,1,14
woman13=8,20,1,9,11,7,13,2,10,15,14,12,6,16,19,18,4,17,3,5
woman14=20,13,6,16,2,4,9,17,7,14,1,18,12,10,5,8,3,11,19,15
woman15=20,9,19,16,6,13,11,2,18,14,5,17,4,10,7,8,1,3,12,15
woman16=3,5,17,11,7,14,6,8,2,4,18,10,19,16,13,1,15,12,20,9
woman17=2,4,13,10,5,1,20,15,12,16,6,14,17,19,8,18,11,7,3,9
woman18=15,17,14,1,16,5,6,9,19,3,18,10,12,20,11,8,2,4,7,13
woman19=2,3,17,8,13,6,14,9,11,20,1,7,18,10,15,5,16,12,4,19
woman20=15,9,1,12,11,3,2,7,10,4,17,5,13,16,8,6,19,18,14,20
