manNum=15
womanNum=15
man1=4,2,14,1,13,11,7,3,8,9,12,6,10,5,15
man2=14,3,13,12,4,6,15,8,5,11,10,2,1,9,7
man3=8,9,13,14,5,2,12,4,3,1,15,11,7,10,6
man4=9,1,3,8,10,15,13,2,5,7,14,6,12,4,11
man5=14,6,13,8,4,5,9,11,7,12,3,10,15,2,1
man6=13,8,3,9,11,5,7,6,15,12,14,1,4,10,2
man7=12,4,6,11,14,2,1,9,8,15,3,7,10,13,5
man8=12,8,1,13,9,5,11,4,7,2,15,10,6,3,14
man9=7,9,13,14,12,5,3,6,15,11,1,8,2,10,4
man10=11,7,4,13,8,15,3,10,9,1,6,14,5,12,2
man11=11,13,2,6,5,1,7,15,8,10,3,9,4,14,12
man12=2,15,7,9,4,8,12,1,13,11,6,10,3,5,14
man13=8,11,7,1,14,10,12,13,6,4,3,15,5,2,9
man14=12,15,7,13,11,6,10,9,2,4,3,14,5,8,1
man15=1,13,2,4,9,11,5,3,6,10,12,15,8,7,14
woman1=13,6,11,10,9,2,14,3,8,7,12,4,15,1,5
woman2=4,6,10,5,14,13,8,3,7,15,1,11,12,2,9
woman3=12,2,6,9,1,10,14,11,13,4,8,5,15,3,7
woman4=14,11,6,4,2,12,9,13,5,3,8,1,15,10,7
woman5=8,9,3,14,2,11,15,6,12,13,10,4,7,1,5
woman6=1,6,10,5,4,7,8,2,3,11,12,9,14,15,13
woman7=10,8,2,5,6,7,1,9,4,12,15,13,14,11,3
woman8=11,7,10,9,14,5,4,1,2,8,12,6,3,15,13
woman9=4,14,13,10,7,3,15,9,1,6,12,2,5,8,11
woman10=7,3,9,10,2,5,4,15,8,1,12,11,14,13,6
woman11=12,6,13,4,9,15,7,1,8,2,3,11,14,10,5
woman12=6,1,3,12,4,7,13,14,10,15,5,8,11,2,9
woman13=15,7,12,8,2,14,1,5,9,4,13,3,6,10,11
woman14=9,11,4,10,12,6,15,8,5,14,1,3,13,2,7
woman15=14,8,1,9,3,5,7,13,11,10,2,12,15,6,4
