manNum=30
womanNum=30
man1=14,25,3,9,7,8,2,27,12,30,23,26,22,28,10,15,5,13,11,19,20,6,1,4,21,16,29,24,17,18
man2=10,4,22,24,25,23,17,2,20,5,12,15,29,14,19,28,30,8,16,26,18,27,1,3,7,21,9,6,11,13
man3=16,17,15,10,14,11,20,8,5,29,24,7,21,28,6,1,13,27,4,18,30,9,22,25,23,12,19,26,3,2
man4=23,25,1,15,19,26,30,17,6,28,5,20,29,2,10,14,9,13,27,11,22,21,24,16,7,8,3,12,4,18
man5=9,23,27,17,10,19,26,20,13,4,5,24,8,1,14,3,18,2,28,30,11,6,22,29,12,15,7,25,16,21
man6=28,6,13,11,3,25,1,16,27,19,21,17,4,23,8,24,20,26,10,14,18,30,5,12,7,29,2,15,9,22
man7=13,2,5,23,6,11,25,4,10,16,22,14,15,12,20,3,19,29,8,9,28,1,21,27,17,7,30,26,18,24
man8=25,4,18,6,22,15,19,1,13,16,2,14,26,30,11,21,20,10,27,12,23,28,5,8,24,17,3,9,7,29
man9=9,3,15,21,10,4,14,24,20,2,11,12,5,13,6,16,17,18,1,7,28,25,23,27,8,22,26,30,29,19
man10=25,10,8,30,16,7,1,5,19,15,28,23,4,29,2,20,6,3,12,13,27,11,17,24,22,21,9,18,26,14
man11=19,10,30,5,25,13,18,15,3,22,24,27,26,2,1,11,7,8,4,29,17,16,9,20,6,21,12,14,23,28
man12=30,4,10,25,7,11,3,2,23,18,29,19,17,1,24,21,14,8,5,12,13,20,6,9,26,28,22,27,16,15
man13=26,8,15,12,16,24,5,4,30,19,20,13,14,25,21,3,11,27,7,6,9,17,18,10,23,22,28,1,29,2
man14=26,5,16,4,17,24,9,1,6,11,23,13,19,7,25,27,21,28,20,15,3,2,22,29,18,10,30,8,12,14
man15=24,16,25,28,8,18,30,19,5,6,9,7,14,2,10,22,23,15,20,12,4,17,3,26,13,1,29,21,11,27
man16=28,21,5,14,15,20,29,9,13,2,10,7,24,16,25,3,23,19,8,1,6,12,26,4,30,22,27,18,11,17
man17=25,11,16,23,7,18,1,12,8,17,21,24,9,6,2,19,28,13,27,14,22,4,5,20,15,29,30,26,3,10
man18=12,9,8,4,22,3,15,20,29,14,16,6,24,28,19,25,18,5,26,1,13,17,21,11,27,7,30,10,2,23
man19=10,26,24,30,9,28,14,1,15,12,3,11,4,27,25,18,17,23,21,13,2,19,20,7,5,29,22,16,6,8
man20=15,20,16,22,12,19,21,24,14,25,17,30,10,7,18,5,2,4,26,28,6,8,13,27,1,9,3,11,29,23
man21=9,2,3,7,17,1,13,15,20,8,29,14,21,30,28,25,10,26,27,6,23,18,12,22,24,4,16,5,19,11
man22=29,30,6,15,16,20,10,18,23,22,5,7,19,2,27,25,1,17,21,13,28,14,8,24,12,4,9,26,3,11
man23=23,6,22,24,9,28,29,11,17,13,5,1,25,4,8,18,19,7,12,21,26,27,10,16,3,20,2,30,15,14
man24=11,1,29,9,13,17,3,18,24,23,25,30,16,12,26,21,10,2,7,22,4,15,28,8,6,5,14,19,20,27
man25=17,29,3,27,14,16,15,1,4,21,26,28,20,2,25,23,13,7,30,10,22,6,18,19,9,11,5,12,24,8
man26=10,23,29,19,28,26,6,18,8,25,7,13,2,22,4,3,17,12,15,30,11,1,24,5,27,21,20,14,16,9
man27=28,9,15,29,2,6,21,11,10,26,12,19,23,7,25,20,8,16,4,30,24,14,17,1,3,27,13,22,18,5
man28=8,10,14,25,15,22,5,7,20,16,6,19,18,1,2,13,23,30,24,9,26,27,17,12,28,3,11,29,4,21
man29=10,18,29,28,22,5,26,8,15,9,21,25,6,19,3,23,27,30,24,14,13,2,16,11,4,20,12,7,1,17
man30=12,26,10,4,11,5,9,21,24,13,15,27,1,3,2,29,6,14,18,16,17,28,7,20,23,30,25,8,19,22
woman1=12,13,30,27,5,11,25,20,1,21,16,24,9,4,15,22,19,18,17,3,7,26,23,14,10,8,2,29,28,6
woman2=3,17,29,27,22,23,26,8,11,18,12,14,9,19,15,10,6,7,24,16,13,20,5,30,4,1,21,28,25,2
woman3=29,24,26,12,3,27,5,11,16,18,2,8,15,7,30,1,28,10,23,6,4,9,25,21,19,20,14,22,17,13
woman4=15,30,8,7,10,25,22,14,28,26,5,29,2,16,21,23,13,3,6,20,12,11,1,18,4,27,17,24,19,9
woman5=17,8,5,2,10,14,16,6,30,15,28,4,23,24,7,26,25,18,29,3,1,19,20,22,11,12,9,13,27,21
woman6=22,26,8,18,7,27,16,15,25,11,9,12,10,2,24,5,14,19,6,21,3,1,28,23,4,20,13,30,29,17
woman7=7,5,9,12,16,15,18,25,28,30,10,23,22,2,29,3,20,14,17,24,26,21,13,4,19,6,1,27,11,8
woman8=17,27,21,19,28,10,22,13,16,23,5,11,15,25,7,24,1,20,14,29,8,30,9,6,2,26,12,18,4,3
woman9=7,22,15,1,20,3,24,30,5,16,9,17,29,10,13,12,27,18,28,23,19,4,25,2,11,6,21,14,8,26
woman10=23,4,14,5,15,21,9,18,7,27,13,24,11,28,29,6,3,10,22,30,1,2,26,25,17,8,20,19,12,16
woman11=11,13,2,26,22,6,29,27,30,4,5,1,10,8,20,23,21,14,24,25,12,3,16,17,15,28,19,7,18,9
woman12=6,1,4,26,10,8,2,27,7,20,30,22,14,13,23,15,11,5,28,24,25,29,18,16,3,12,21,19,9,17
woman13=8,7,29,4,5,30,1,10,6,24,27,28,9,13,14,18,26,2,21,23,17,22,12,19,3,20,25,15,11,16
woman14=15,27,6,26,2,8,23,9,5,16,4,19,29,14,22,12,3,20,24,25,10,7,30,11,18,28,1,17,13,21
woman15=21,8,11,27,14,5,18,9,22,29,17,7,10,24,2,26,23,12,20,6,4,30,1,28,15,3,16,13,19,25
